id,chapter,chapter_title,level,priority,automation,statement,evidence,sources,status,version_introduced
UXR-0001,1,Gouvernance du référentiel et langage normatif,MUST,P0,SEMI,Toute tâche frontend doit identifier les règles de ce référentiel qui s'appliquent avant de modifier le code.,La description de tâche ou de PR contient une section « Règles UI/UX applicables » avec des identifiants UXR.,"S04,S23,S30,S31",active,1.0.0
UXR-0002,1,Gouvernance du référentiel et langage normatif,MUST,P0,MANUAL,"Les exigences légales, de sécurité, d'accessibilité et de vérité des données priment sur toute préférence esthétique.","Aucune décision visuelle ne contourne WCAG, RBAC, provenance, consentement ou contrat métier.","S04,S23,S30,S31",active,1.0.0
UXR-0003,1,Gouvernance du référentiel et langage normatif,MUST,P0,MANUAL,"Un Page Operating Contract validé prime sur une maquette lorsqu'ils divergent sur l'objectif, les données ou les actions.",La PR cite le contrat de page et explique tout écart avec la référence visuelle.,"S04,S23,S30,S31",active,1.0.0
UXR-0004,1,Gouvernance du référentiel et langage normatif,MUST,P0,SEMI,"Une règle MUST ou MUST NOT ne peut être ignorée sans dérogation écrite, propriétaire, risque, mesure compensatoire et date d'expiration.",Le registre des dérogations contient une entrée complète et approuvée.,"S04,S23,S30,S31",active,1.0.0
UXR-0005,1,Gouvernance du référentiel et langage normatif,SHOULD,P1,MANUAL,Une règle SHOULD est appliquée par défaut et tout écart doit être justifié par un besoin utilisateur ou une contrainte mesurée.,"La PR documente la justification et la preuve, pas une préférence personnelle.","S04,S23,S30,S31",active,1.0.0
UXR-0006,1,Gouvernance du référentiel et langage normatif,MAY,P3,MANUAL,Une règle MAY peut être utilisée lorsque le contexte la rend utile sans créer de complexité durable.,La décision reste réversible et n'introduit pas de dépendance structurelle injustifiée.,"S04,S23,S30,S31",active,1.0.0
UXR-0007,1,Gouvernance du référentiel et langage normatif,MUST,P0,SEMI,"Chaque règle appliquée doit produire une preuve vérifiable dans le design, le code, les tests ou la documentation.","La revue peut pointer vers un fichier, une story, un test, une capture ou une mesure.","S04,S23,S30,S31",active,1.0.0
UXR-0008,1,Gouvernance du référentiel et langage normatif,MUST NOT,P0,MANUAL,Un agent ne doit pas déclarer une règle respectée sans avoir inspecté le rendu ou la preuve correspondante.,"Le rapport distingue « vérifié », « partiellement vérifié » et « non vérifié » avec raison.","S04,S23,S30,S31",active,1.0.0
UXR-0009,1,Gouvernance du référentiel et langage normatif,MUST,P0,MANUAL,"Les conflits entre règles doivent être arbitrés explicitement selon l'ordre sécurité, vérité, accessibilité, tâche, cohérence, esthétique.",La décision d'arbitrage est écrite dans la PR ou un ADR UX.,"S04,S23,S30,S31",active,1.0.0
UXR-0010,1,Gouvernance du référentiel et langage normatif,MUST,P1,AUTO,Le référentiel doit être versionné et chaque changement normatif doit indiquer sa motivation et son impact.,"Un changelog contient version, règles modifiées, migration et approbateurs.","S04,S23,S30,S31",active,1.0.0
UXR-0011,1,Gouvernance du référentiel et langage normatif,MUST,P1,AUTO,Les règles doivent avoir des identifiants stables qui ne sont jamais réutilisés après suppression.,Le JSON et le Markdown conservent l'historique des IDs dépréciés.,"S04,S23,S30,S31",active,1.0.0
